station*;site d'echantillonnage*;jeu de donnees*;sample_name*;sampling_resp*;sampling_date(dd/mm/yyyy)*;sampling_time (hh:mm);sampling_depth_min;sampling_depth_max;sampling_volume;tide;tide_coefficient;sampling_device*;bottle_model;bottle_volume (liter);pump_model;pump_flow (L per min);net_length (m);net_type;net_area (m2);net_mesh (Âµm);net_direction;analysis_method*;analysis_resp*;analysis_date (dd/mm/yyyy)*;rawdatafile;cytometer;analysissoftware;analysissoftwareversion;fixativemethod;fixativefinalconcentration;storagecondition;otherproduct;flashfrozen;beadsreferences;beadssize;valbeadsbacteria;Val_LNABac;Val_LNABac_SSC;Val_LNABac_FL_Green;Val_HNABac;Val_HNABac_SSC;Val_HNABac_FL_Green;Val_TotBac;Val_TotBac_SSC;Val_TotBac_FL_Green;valbeadsautotrophs;Val_PicoE;Val_PicoE_SSC;Val_PicoE_FL_Red;Val_TotEuk;Val_TotEuk_SSC;Val_TotEuk_FL_Red;Val_NanoE;Val_NanoE_SSC;Val_NanoE_FL_Red;Val_Cry;Val_Cry_SSC;Val_Cry_FL_Red;Val_Cry_FL_Orange;Val_Pro;Val_Pro_SSC;Val_Pro_FL_Red;Val_Syn;Val_Syn_SSC;Val_Syn_FL_Red;Val_Syn_FL_Orange;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA011011;Fabrice Not;11/10/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;17136.363636363636;;;;0.0;0.0;0.0;444727.2727272727;0.085;0.132;22196.581196581195;0.0;0.0;0.0;6029.91452991453;6.387;37.177;0.0;0.0;0.0;209.4017094017094;0.0;0.0;0.0;0.0;0.0;0.0;2764.957264957265;4.585;3.433;0.519;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA011025;Fabrice Not;25/10/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;18295.454545454544;;;;0.0;0.0;0.0;458431.8181818182;0.082;0.149;22115.384615384617;0.0;0.0;0.0;6581.196581196581;7.64;44.532;0.0;0.0;0.0;363.2478632478632;0.0;0.0;0.0;0.0;0.0;0.0;3072.6495726495727;5.47;3.338;0.496;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA011112;Florence Legall;12/11/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Florence Legall;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;19795.454545454544;;;;0.0;0.0;0.0;541000.0;0.096;0.145;22940.17094017094;0.0;0.0;0.0;6927.350427350428;6.691;34.97;0.0;0.0;0.0;235.04273504273505;0.0;0.0;0.0;0.0;0.0;0.0;5175.213675213675;5.991;3.52;0.487;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA011123;Florence Legall;23/11/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Florence Legall;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;11840.90909090909;;;;0.0;0.0;0.0;245363.63636363635;0.097;0.129;19286.324786324785;0.0;0.0;0.0;5504.273504273504;8.914;31.661;0.0;0.0;0.0;256.4102564102564;0.0;0.0;0.0;0.0;0.0;0.0;4059.82905982906;5.482;2.978;0.416;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA011207;Fabrice Not;07/12/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;22545.454545454544;;;;0.0;0.0;0.0;479409.0909090909;0.061;0.14;23538.46153846154;0.0;0.0;0.0;3927.3504273504273;4.182;31.465;0.0;0.0;0.0;217.94871794871796;0.0;0.0;0.0;0.0;0.0;0.0;3051.2820512820513;1.548;5.994;1.069;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA011218;Fabrice Not;18/12/2001;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;20500.0;;;;0.0;0.0;0.0;643363.6363636364;0.069;0.112;21773.504273504273;0.0;0.0;0.0;4568.376068376068;4.298;30.848;0.0;0.0;0.0;230.76923076923077;0.0;0.0;0.0;0.0;0.0;0.0;3705.128205128205;4.773;4.706;0.782;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020108;Fabrice Not;08/01/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;14300.0;;;;0.0;0.0;0.0;355920.0;0.074;0.184;22025.47770700637;0.0;0.0;0.0;11282.377919320594;0.869;24.035;0.0;0.0;0.0;123.14225053078556;0.0;0.0;0.0;0.0;0.0;0.0;3859.872611464968;0.158;4.41;0.695;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020122;Fabrice Not;22/01/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;23645.320197044333;;;;0.0;0.0;0.0;785320.197044335;0.112;0.174;21129.28348909658;0.0;0.0;0.0;10346.573208722742;2.795;30.376;0.0;0.0;0.0;194.7040498442368;0.0;0.0;0.0;0.0;0.0;0.0;1390.1869158878508;3.03;3.263;0.602;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020201;Fabrice Not;01/02/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;24113.636363636364;;;;0.0;0.0;0.0;893477.2727272727;0.101;0.128;23346.153846153848;0.0;0.0;0.0;4538.461538461538;4.215;38.237;0.0;0.0;0.0;243.5897435897436;0.0;0.0;0.0;0.0;0.0;0.0;2726.4957264957266;1.251;6.23;1.138;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020207;Fabrice Not;07/02/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;18068.18181818182;;;;0.0;0.0;0.0;346045.45454545453;0.073;0.165;20790.59829059829;0.0;0.0;0.0;3282.051282051282;7.396;48.061;0.0;0.0;0.0;243.5897435897436;0.0;0.0;0.0;0.0;0.0;0.0;2405.982905982906;3.499;5.43;1.152;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020307;Fabrice Not;07/03/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;18645.320197044333;;;;0.0;0.0;0.0;199458.12807881774;0.212;0.193;18633.17757009346;0.0;0.0;0.0;4010.903426791278;12.667;45.507;0.0;0.0;0.0;124.61059190031155;0.0;0.0;0.0;0.0;0.0;0.0;2063.86292834891;8.146;4.737;0.856;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020322;Fabrice Not;22/03/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;24187.1921182266;;;;0.0;0.0;0.0;538817.7339901477;0.069;0.191;21066.97819314642;0.0;0.0;0.0;4972.741433021808;6.449;38.792;0.0;0.0;0.0;210.28037383177573;0.0;0.0;0.0;0.0;0.0;0.0;2313.084112149533;2.89;5.009;0.939;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020405;Florence Legall;05/04/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Florence Legall;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;22216.748768472906;;;;0.0;0.0;0.0;667931.0344827586;0.051;0.177;20046.72897196262;0.0;0.0;0.0;8586.448598130843;2.942;28.566;0.0;0.0;0.0;276.47975077881625;0.0;0.0;0.0;0.0;0.0;0.0;3224.2990654205614;1.386;3.937;0.748;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020506;Fabrice Not;06/05/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;24211.82266009852;;;;0.0;0.0;0.0;1053029.5566502463;0.054;0.172;20035.046728971967;0.0;0.0;0.0;13929.1277258567;2.795;37.268;0.0;0.0;0.0;389.4080996884736;0.0;0.0;0.0;0.0;0.0;0.0;1234.4236760124613;1.67;3.015;0.56;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020523;Fabrice Not;23/05/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;40935.960591133;;;;0.0;0.0;0.0;1719556.6502463054;0.103;0.235;23099.688473520255;0.0;0.0;0.0;2258.566978193147;7.607;100.806;0.0;0.0;0.0;198.59813084112153;0.0;0.0;0.0;0.0;0.0;0.0;669.7819314641746;1.99;4.44;0.708;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020603;Fabrice Not;03/06/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;28275.862068965514;;;;0.0;0.0;0.0;1438226.6009852216;0.061;0.186;22328.660436137077;0.0;0.0;0.0;10954.049844236763;2.419;46.417;0.0;0.0;0.0;319.31464174454834;0.0;0.0;0.0;0.0;0.0;0.0;1051.4018691588788;1.289;4.954;0.845;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020618;Fabrice Not;18/06/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;23374.384236453203;;;;0.0;0.0;0.0;1059261.0837438423;0.076;0.157;20397.196261682246;0.0;0.0;0.0;8531.931464174457;5.524;47.209;0.0;0.0;0.0;218.0685358255452;0.0;0.0;0.0;0.0;0.0;0.0;1378.5046728971965;2.193;3.569;0.569;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020704;Fabrice Not;04/07/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;27610.837438423645;;;;0.0;0.0;0.0;1452216.7487684728;0.084;0.155;21288.94080996885;0.0;0.0;0.0;10728.193146417447;1.288;23.774;0.0;0.0;0.0;140.1869158878505;0.0;0.0;0.0;0.0;0.0;0.0;2355.9190031152652;0.817;4.519;0.81;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020719;Florence Legall;19/07/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Florence Legall;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;22807.881773399014;;;;0.0;0.0;0.0;828768.472906404;0.113;0.196;20241.433021806857;0.0;0.0;0.0;23621.495327102806;1.545;21.562;0.0;0.0;0.0;288.1619937694704;0.0;0.0;0.0;0.0;0.0;0.0;3056.8535825545177;0.874;3.091;0.558;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020801;Fabrice Not;01/08/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;20978.260869565216;;;;0.0;0.0;0.0;858043.4782608695;0.048;0.192;21736.730360934183;0.0;0.0;0.0;9473.460721868365;1.268;34.058;0.0;0.0;0.0;118.895966029724;0.0;0.0;0.0;0.0;0.0;0.0;1685.7749469214436;0.793;4.849;0.735;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020819;Florence Legall;19/08/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Florence Legall;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;20760.869565217392;;;;0.0;0.0;0.0;876847.8260869565;0.038;0.176;21949.04458598726;0.0;0.0;0.0;14607.218683651805;1.07;23.847;0.0;0.0;0.0;246.28450106157112;0.0;0.0;0.0;0.0;0.0;0.0;3723.991507430998;0.507;4.391;0.69;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020902;Florence Legall;02/09/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Florence Legall;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;21695.652173913044;;;;0.0;0.0;0.0;992673.9130434783;0.041;0.191;22462.84501061571;0.0;0.0;0.0;19303.6093418259;1.652;35.212;0.0;0.0;0.0;237.791932059448;0.0;0.0;0.0;0.0;0.0;0.0;6760.084925690021;0.453;3.033;0.524;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020916;Fabrice Not;16/09/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;21391.304347826088;;;;0.0;0.0;0.0;1224891.3043478262;0.059;0.172;20343.94904458599;0.0;0.0;0.0;10636.942675159236;3.272;43.696;0.0;0.0;0.0;186.83651804670913;0.0;0.0;0.0;0.0;0.0;0.0;8097.664543524416;1.389;3.767;0.594;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA020917;Fabrice Not;17/09/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;16739.130434782608;;;;0.0;0.0;0.0;2164869.565217391;0.054;0.235;21087.04883227176;0.0;0.0;0.0;27983.014861995754;1.384;20.173;0.0;0.0;0.0;259.02335456475583;0.0;0.0;0.0;0.0;0.0;0.0;7452.229299363057;1.079;2.471;0.379;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA021004;Nathalie Simon;04/10/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Nathalie Simon;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;19804.347826086956;;;;0.0;0.0;0.0;874630.4347826086;0.045;0.179;20365.180467091293;0.0;0.0;0.0;8403.39702760085;1.242;22.634;0.0;0.0;0.0;165.60509554140128;0.0;0.0;0.0;0.0;0.0;0.0;4772.823779193206;0.565;3.241;0.517;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA021014;Fabrice Not;14/10/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;18456.521739130436;;;;0.0;0.0;0.0;760173.9130434783;0.038;0.158;20148.619957537154;0.0;0.0;0.0;5668.789808917198;1.523;37.495;0.0;0.0;0.0;123.14225053078556;0.0;0.0;0.0;0.0;0.0;0.0;4479.830148619958;0.737;4.968;0.892;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA021030;Fabrice Not;30/10/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;25000.0;;;;0.0;0.0;0.0;726086.9565217391;0.041;0.175;25507.430997876858;0.0;0.0;0.0;8942.675159235669;1.234;31.886;0.0;0.0;0.0;250.5307855626327;0.0;0.0;0.0;0.0;0.0;0.0;5286.624203821656;0.389;4.666;0.924;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA021202;;02/12/2002;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;22409.090909090908;;;;0.0;0.0;0.0;527340.9090909091;0.063;0.135;23538.46153846154;0.0;0.0;0.0;4504.273504273504;4.597;33.057;0.0;0.0;0.0;230.76923076923077;0.0;0.0;0.0;0.0;0.0;0.0;3034.188034188034;2.76;5.065;0.933;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA030423;Fabrice Not;23/04/2003;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;28152.17391304348;;;;0.0;0.0;0.0;648869.5652173914;0.047;0.172;31723.484848484848;0.0;0.0;0.0;13026.515151515152;1.687;12.294;0.0;0.0;0.0;162.87878787878788;0.0;0.0;0.0;0.0;0.0;0.0;4992.424242424242;0.167;1.434;0.192;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA030505;Fabrice Not;05/05/2003;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Fabrice Not;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;27326.08695652174;;;;0.0;0.0;0.0;909543.4782608695;0.051;0.202;31912.878787878788;0.0;0.0;0.0;6257.575757575758;2.015;17.894;0.0;0.0;0.0;109.84848484848484;0.0;0.0;0.0;0.0;0.0;0.0;1537.878787878788;0.183;1.381;0.195;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA030521;Nathalie Simon;21/05/2003;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Nathalie Simon;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;25913.043478260868;;;;0.0;0.0;0.0;1564413.043478261;0.064;0.26;31174.242424242424;0.0;0.0;0.0;2685.6060606060605;10.373;33.106;0.0;0.0;0.0;60.60606060606061;0.0;0.0;0.0;0.0;0.0;0.0;435.6060606060606;0.193;1.993;0.3;
Station Biologique de Roscoff;SOMLIT-Astan;Roscoff SOMLIT Astan;RA030610;Nathalie Simon;10/06/2003;00:00;1.0;1.0;0.0;High tide;;bottle;Niskin;5.0;;;;;;;;CytomÃ©trie en flux;Nathalie Simon;01/01/1900;;BD FACSort;CYTOWIN.EXE;;Glutaraldehyde;0.25%;-80Â°C;;YES;Polysciences fluoresbrite;0.95;28152.17391304348;;;;0.0;0.0;0.0;1013956.5217391305;0.046;0.185;31041.666666666668;0.0;0.0;0.0;13234.848484848484;2.088;16.101;0.0;0.0;0.0;196.96969696969697;0.0;0.0;0.0;0.0;0.0;0.0;958.3333333333334;0.184;1.913;0.294;
