TAXON;aphiaID;Kingdom;Phylum;Subphylum;Superclass;Class;Infraclass;Superorder;Order;Family;Genus;Species;Subclass;Suborder;Subfamily;Tribe;Subgenus;Infraphylum;Parvphylum;Gigaclass;Infraorder;Superfamily;Parvorder;Subterclass;Section;Subsection;rank
Gobiidae;125537;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Gobiiformes;Gobiidae;NA;NA;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Family
Soleidae;125581;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Pleuronectiformes;Soleidae;NA;NA;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Family
Gaidropsarus;125743;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Gadiformes;Gaidropsaridae;Gaidropsarus;NA;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Genus
Ammodytes;125909;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Perciformes;Ammodytidae;Ammodytes;NA;NA;Uranoscopoidei;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Genus
Callionymus;125930;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Callionymiformes;Callionymidae;Callionymus;NA;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Genus
Clupea harengus;126417;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Clupeiformes;Clupeidae;Clupea;Clupea harengus;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Species
Sardina pilchardus;126421;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Clupeiformes;Alosidae;Sardina;Sardina pilchardus;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Species
Sprattus sprattus;126425;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Clupeiformes;Clupeidae;Sprattus;Sprattus sprattus;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Species
Merlangius merlangus;126438;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Gadiformes;Gadidae;Merlangius;Merlangius merlangus;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Species
Blennius ocellaris;126761;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Blenniiformes;Blenniidae;Blennius;Blennius ocellaris;NA;NA;Blenniinae;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Species
Limanda limanda;127139;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Pleuronectiformes;Pleuronectidae;Limanda;Limanda limanda;NA;NA;Pleuronectinae;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Species
Buglossidium luteum;127153;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Pleuronectiformes;Soleidae;Buglossidium;Buglossidium luteum;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Species
Solea solea;127160;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Pleuronectiformes;Soleidae;Solea;Solea solea;NA;NA;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Species
Taurulus bubalis;127204;Animalia;Chordata;Vertebrata;Actinopteri;Teleostei;NA;NA;Perciformes;Cottidae;Taurulus;Taurulus bubalis;NA;Cottoidei;NA;NA;NA;Gnathostomata;Osteichthyes;Actinopterygii;NA;NA;NA;NA;NA;NA;Species
Platycopia perplexa;128558;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Progymnoplea;NA;Platycopioida;Platycopiidae;Platycopia;Platycopia perplexa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Clausidiidae;128567;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Cyclopoida;Clausidiidae;NA;NA;NA;Ergasilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Corycaeus;128634;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Cyclopoida;Corycaeidae;Corycaeus;NA;NA;Ergasilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Oncaea;128690;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Cyclopoida;Oncaeidae;Oncaea;NA;NA;Ergasilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Ditrichocorycaeus anglicus;128805;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Cyclopoida;Corycaeidae;Ditrichocorycaeus;Ditrichocorycaeus anglicus;NA;Ergasilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Triconia conifera;128957;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Cyclopoida;Oncaeidae;Triconia;Triconia conifera;NA;Ergasilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Nephtys;129370;Animalia;Annelida;NA;NA;Polychaeta;NA;NA;Phyllodocida;Nephtyidae;Nephtys;NA;Errantia;Phyllodocida incertae sedis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Myrianida;129659;Animalia;Annelida;NA;NA;Polychaeta;NA;NA;Phyllodocida;Syllidae;Myrianida;NA;Errantia;Nereidiformia;Autolytinae;Autolytini;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Magelona papillicornis;130272;Animalia;Annelida;NA;NA;Polychaeta;NA;NA;NA;Magelonidae;Magelona;Magelona papillicornis;Polychaeta incertae sedis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Harmothoe imbricata;130769;Animalia;Annelida;NA;NA;Polychaeta;NA;NA;Phyllodocida;Polynoidae;Harmothoe;Harmothoe imbricata;Errantia;Aphroditiformia;Polynoinae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Polydora ciliata;131141;Animalia;Annelida;NA;NA;Polychaeta;Canalipalpata;NA;Spionida;Spionidae;Polydora;Polydora ciliata;Sedentaria;Spioniformia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Lanice conchilega;131495;Animalia;Annelida;NA;NA;Polychaeta;Canalipalpata;NA;Terebellida;Terebellidae;Lanice;Lanice conchilega;Sedentaria;Terebelliformia;Terebellinae;Lanicini;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Peltogaster paguri;134798;Animalia;Arthropoda;Crustacea;Multicrustacea;Thecostraca;Rhizocephala;NA;NA;Peltogastridae;Peltogaster;Peltogaster paguri;Cirripedia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Scyphozoa;135220;Animalia;Cnidaria;Medusozoa;NA;Scyphozoa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
