TAXON;aphiaID;Kingdom;Phylum;Subphylum;Class;Subclass;Superorder;Order;Family;Genus;Subkingdom;Infrakingdom;Species;Infraphylum;Subfamily;Superclass;Suborder;Phylum (Division);Subgenus;Subphylum (Subdivision);Variety;Forma;Infraclass;Subterclass;Superfamily;rank
Cyanophyceae;146542;Bacteria;Cyanobacteria;NA;Cyanophyceae;NA;NA;NA;NA;NA;Negibacteria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Cyclophora tenuis;577625;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Cyclophorales;Cyclophoraceae;Cyclophora;NA;NA;Cyclophora tenuis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Cyclotella;148905;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Thalassiosiranae;Thalassiosirales;Stephanodiscaceae;Cyclotella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Cyclotella choctawhatcheeana;148908;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Thalassiosiranae;Thalassiosirales;Stephanodiscaceae;Cyclotella;NA;NA;Cyclotella choctawhatcheeana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Cylindrotheca;149003;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Cylindrotheca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Cylindrotheca closterium;149004;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Cylindrotheca;NA;NA;Cylindrotheca closterium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Cylindrotheca closterium-Nitzschia longissima;148899;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cylindrotheca fusiformis;375677;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Bacillariales;Bacillariaceae;Cylindrotheca;NA;NA;Cylindrotheca fusiformis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Cymatopleura solea;SUPPR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cymatosira belgica;149012;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Cymatosirophycanae;Cymatosirales;Cymatosiraceae;Cymatosira;NA;NA;Cymatosira belgica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Cymatosiraceae;149010;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Cymatosirophycanae;Cymatosirales;Cymatosiraceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Cymbomonas tetramitiformis;134545;Plantae;NA;NA;Pyramimonadophyceae;NA;NA;Pyramimonadales;Pyramimonadaceae;Cymbomonas;Viridiplantae;NA;Cymbomonas tetramitiformis;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Species
Cyrtostrombidium;393573;Chromista;Ciliophora;Intramacronucleata;Oligotrichea;Oligotrichia;NA;Oligotrichida;Cyrtostrombidiidae;Cyrtostrombidium;Harosa;Alveolata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Dactyliosolen;149309;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Dactyliosolen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Dactyliosolen blavyanus;179786;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Dactyliosolen;NA;NA;Dactyliosolen blavyanus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dactyliosolen fragilissimus;149310;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Dactyliosolen;NA;NA;Dactyliosolen fragilissimus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dactyliosolen mediterraneus;163262;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Dactyliosolen;NA;NA;Dactyliosolen mediterraneus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dactyliosolen phuketensis;248064;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Rhizosolenianae;Rhizosoleniales;Rhizosoleniaceae;Dactyliosolen;NA;NA;Dactyliosolen phuketensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dadayiella ganymedes;183542;Chromista;Ciliophora;Intramacronucleata;Oligotrichea;Oligotrichia;NA;Choreotrichida;Tintinnidae;Dadayiella;Harosa;Alveolata;Dadayiella ganymedes;NA;NA;NA;Tintinnina;NA;NA;NA;NA;NA;NA;NA;NA;Species
Delphineis;149179;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycidae incertae sedis;Rhaponeidales;Rhaphoneidaceae;Delphineis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Delphineis minutissima;621926;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycidae incertae sedis;Rhaponeidales;Rhaphoneidaceae;Delphineis;NA;NA;Delphineis minutissima;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Delphineis surirella;149180;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycidae incertae sedis;Rhaponeidales;Rhaphoneidaceae;Delphineis;NA;NA;Delphineis surirella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Denticella turgida;162983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Desmodesmus;249711;Plantae;NA;NA;Chlorophyceae;NA;NA;Sphaeropleales;Scenedesmaceae;Desmodesmus;Viridiplantae;NA;NA;NA;Desmodesmoideae;NA;NA;Chlorophyta;NA;Chlorophytina;NA;NA;NA;NA;NA;Genus
Detonula;149285;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Thalassiosiranae;Thalassiosirales;Skeletonemaceae;Detonula;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Detonula confervacea;149286;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Thalassiosiranae;Thalassiosirales;Skeletonemaceae;Detonula;NA;NA;Detonula confervacea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Detonula pumila;149647;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Thalassiosiranae;Thalassiosirales;Skeletonemaceae;Detonula;NA;NA;Detonula pumila;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Diatoma tenuis;149014;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Diatoma;NA;NA;Diatoma tenuis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Diatoma vulgaris;418624;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Fragilariophycidae;Fragilariophycanae;Fragilariales;Fragilariaceae;Diatoma;NA;NA;Diatoma vulgaris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dicroerisma psilonereiella;232110;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Actiniscaceae;Dicroerisma;Harosa;Alveolata;Dicroerisma psilonereiella;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dictyocha;157258;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Dictyochales;Dictyochaceae;Dictyocha;Harosa;Heterokonta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Dictyocha aculeata;704235;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Dictyochales;Dictyochaceae;Dictyocha;Harosa;Heterokonta;Dictyocha aculeata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dictyocha antarctica;376677;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Dictyochales;Dictyochaceae;Dictyocha;Harosa;Heterokonta;Dictyocha antarctica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dictyocha crux;375788;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Dictyochales;Dictyochaceae;Dictyocha;Harosa;Heterokonta;Dictyocha crux;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dictyocha fibula;157463;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Dictyochales;Dictyochaceae;Dictyocha;Harosa;Heterokonta;Dictyocha fibula;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dictyochaceae;157257;Chromista;Ochrophyta;NA;Dictyochophyceae;NA;NA;Dictyochales;Dictyochaceae;NA;Harosa;Heterokonta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Dictyochaceae (benthic form);157257;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dictyocysta elegans;235766;Chromista;Ciliophora;Intramacronucleata;Oligotrichea;Oligotrichia;NA;Choreotrichida;Dictyocystidae;Dictyocysta;Harosa;Alveolata;Dictyocysta elegans;NA;NA;NA;Tintinnina;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dimeregramma;163233;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Triceratiales;Plagiogrammaceae;Dimeregramma;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Dinobryon;157240;Chromista;Ochrophyta;NA;Chrysophyceae;NA;NA;Chromulinales;Dinobryaceae;Dinobryon;Harosa;Heterokonta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Dinobryon balticum;160552;Chromista;Ochrophyta;NA;Chrysophyceae;NA;NA;Chromulinales;Dinobryaceae;Dinobryon;Harosa;Heterokonta;Dinobryon balticum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinobryon divergens;157248;Chromista;Ochrophyta;NA;Chrysophyceae;NA;NA;Chromulinales;Dinobryaceae;Dinobryon;Harosa;Heterokonta;Dinobryon divergens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinobryon faculiferum;160553;Chromista;Ochrophyta;NA;Chrysophyceae;NA;NA;Chromulinales;Dinobryaceae;Dinobryon;Harosa;Heterokonta;Dinobryon faculiferum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinoflagellata;146203;Chromista;Myzozoa;Dinozoa;NA;NA;NA;NA;NA;NA;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Infraphylum
Dinophyceae;19542;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;NA;NA;NA;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Dinophyceae incertae sedis;109404;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophyceae incertae sedis;NA;NA;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Order
Dinophysis;109462;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Dinophysis acuminata;109603;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis acuminata;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis acuta;109604;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis acuta;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis argus;109609;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis argus;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis caudata;109612;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis caudata;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis dens;109616;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis dens;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis exigua;232185;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis exigua;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis fortii;109624;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis fortii;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis hastata;109627;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis hastata;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis infundibulum;109629;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis infundibulum;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis norvegica;109637;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis norvegica;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis ovata;109641;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis ovata;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis parvula;109644;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis parvula;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis punctata;109651;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis punctata;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis pusilla;109652;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis pusilla;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis sacculus;232261;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis sacculus;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis schroederi;232270;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis schroederi;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis similis;109658;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dinophysis tripos;109662;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis tripos;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dinophysis uracantha;109664;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Dinophysales;Dinophysaceae;Dinophysis;Harosa;Alveolata;Dinophysis uracantha;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Diploneis;149018;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Naviculales;Diploneidaceae;Diploneis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Diploneis bombus;149194;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Naviculales;Diploneidaceae;Diploneis;NA;NA;Diploneis bombus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Diploneis chersonensis;179856;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Naviculales;Diploneidaceae;Diploneis;NA;NA;Diploneis chersonensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Diploneis crabro;149396;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Diploneis didyma;149195;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Naviculales;Diploneidaceae;Diploneis;NA;NA;Diploneis didymus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Diploneis stroemii;164085;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Naviculales;Diploneidaceae;Diploneis;NA;NA;Diploneis stroemii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Diplopsalid + Preperidinium;109435;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Diplopsalis;109515;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Diplopsalis;Harosa;Alveolata;NA;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Diplopsalis lenticula;110001;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Peridiniales;Protoperidiniaceae;Diplopsalis;Harosa;Alveolata;Diplopsalis lenticula;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dissodinium pseudolunula;110325;Chromista;Myzozoa;Dinozoa;Dinophyceae;Peridiniphycidae;NA;Gonyaulacales;Pyrocystaceae;Dissodinium;Harosa;Alveolata;Dissodinium pseudolunula;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Ditylum;149022;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Lithodesmiophycanae;Lithodesmiales;Lithodesmiaceae;Ditylum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Ditylum brightwellii;149023;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Lithodesmiophycanae;Lithodesmiales;Lithodesmiaceae;Ditylum;NA;NA;Ditylum brightwellii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Dolichomastix;134530;Plantae;NA;NA;Mamiellophyceae;NA;NA;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Viridiplantae;NA;NA;NA;NA;NA;NA;Chlorophyta;NA;Prasinophytina;NA;NA;NA;NA;NA;Genus
Donkinia;149510;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Naviculales;Pleurosigmataceae;Donkinia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Donkinia recta;149511;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Naviculales;Pleurosigmataceae;Donkinia;NA;NA;Donkinia recta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Ebria;118014;Chromista;Cercozoa;NA;Thecofilosea;Eothecia;NA;Ebriales;Ebriaceae;Ebria;Harosa;Rhizaria;NA;NA;NA;Ventrifilosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Ebria tripartita;118051;Chromista;Cercozoa;NA;Thecofilosea;Eothecia;NA;Ebriales;Ebriaceae;Ebria;Harosa;Rhizaria;Ebria tripartita;NA;NA;Ventrifilosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Emiliania;115086;Chromista;Haptophyta;Haptophytina;Coccolithophyceae;Prymnesiophycidae;NA;Isochrysidales;Noelaerhabdaceae;Emiliania;Hacrobia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Empty Bacillariophyceae;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Entomoneis;156598;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Surirellales;Entomoneidaceae;Entomoneis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Entomoneis <10 µm;156598;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Entomoneis alata;157428;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Surirellales;Entomoneidaceae;Entomoneis;NA;NA;Entomoneis alata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Entomoneis paludosa;163646;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Surirellales;Entomoneidaceae;Entomoneis;NA;NA;Entomoneis paludosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Epithemia;149026;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Rhopalodiales;Rhopalodiaceae;Epithemia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Epithemia turgida;149027;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophycidae;Bacillariophycanae;Rhopalodiales;Rhopalodiaceae;Epithemia;NA;NA;Epithemia turgida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Erythropsidinium agile;109905;Chromista;Myzozoa;Dinozoa;Dinophyceae;NA;NA;Gymnodiniales;Warnowiaceae;Erythropsidinium;Harosa;Alveolata;Erythropsidinium agile;Dinoflagellata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Eucampia;149130;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Hemiaulales;Hemiaulaceae;Eucampia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Eucampia cornuta;248058;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Hemiaulales;Hemiaulaceae;Eucampia;NA;NA;Eucampia cornuta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Eucampia striata;163243;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Hemiaulales;Hemiaulaceae;Eucampia;NA;NA;Eucampia striata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Eucampia zodiacus;149131;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Hemiaulales;Hemiaulaceae;Eucampia;NA;NA;Eucampia zodiacus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Euglena;8012;Protozoa;Euglenozoa;Euglenoida;Euglenophyceae;Euglenophycidae;NA;Euglenales;Euglenaceae;Euglena;Eozoa;Euglenozoa;NA;Dipilida;Euglenoideae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Euglenaceae;21001;Protozoa;Euglenozoa;Euglenoida;Euglenophyceae;Euglenophycidae;NA;Euglenales;Euglenaceae;NA;Eozoa;Euglenozoa;NA;Dipilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Euglenia;582200;Protozoa;Euglenozoa;NA;Euglenoidea;Euglenia;NA;NA;NA;NA;Eozoa;Euglenozoa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Subclass
Euglenoidea;582177;Protozoa;Euglenozoa;NA;Euglenoidea;NA;NA;NA;NA;NA;Eozoa;Euglenozoa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Euglenophyceae;19539;Protozoa;Euglenozoa;Euglenoida;Euglenophyceae;NA;NA;NA;NA;NA;Eozoa;Euglenozoa;NA;Dipilida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Class
Eupodiscus sculptus;179377;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Coscinodiscophycidae;Biddulphianae;Triceratiales;Triceratiaceae;Eupodiscus;NA;NA;Eupodiscus sculptus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Eupyxidicula nipponica;1322723;Chromista;Heterokontophyta;Bacillariophytina;Bacillariophyceae;Bacillariophyceae incertae sedis;NA;NA;NA;Eupyxidicula;NA;NA;Eupyxidicula nipponica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
